InChI                                                               	SMILES                  	Specie  	NameInMech  	Formula  	NoGAVs  	GAVsName                                                                                                        	Quantity                            	Symmetry	Rotors	IfRad	ParentMol   	C 	H 	O 	N 	Linearity
InChI=1S/C6H13/c1-5(2)6(3)4/h5-6H,1H2,2-4H3                         	CC(C(C)C)[CH2]          	23DMB1J 	XC6-1        	C6H13   	12      	C/C/H3,C/C3/H,AG,RG2,OI,P,P/BETA                                                                                    	4,2,1,1,1,1,2                   	54      	5     	YES 	no           	6 	13	0 	0 	no
InChI=1S/C6H13/c1-5(2)6(3)4/h5H,1-4H3                               	C[C](C(C)C)C            	23DMB2J 	XC6-2        	C6H13   	11      	C/C/H3,C/C3/H,RG1,T,T/BETA                                                                                          	4,2,2,1,2                       	162     	5     	YES 	no           	6 	13	0 	0 	no
InChI=1S/C7H15/c1-5-7(4)6(2)3/h6-7H,2,5H2,1,3-4H3                   	CCC(C(C)[CH2])C         	23DMP1J 	23DMP1J      	C7H15   	14      	C/C/H3,C/C2/H2,C/C3/H,AG,RG2,OI,P,P/BETA                                                                            	4,1,2,2,1,1,1,2                 	54      	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-5-7(4)6(2)3/h6H,5H2,1-4H3                         	CC[C](C(C)C)C           	23DMP3J 	23DMP3J      	C7H15   	15      	C/C/H3,C/C2/H2,C/C3/H,RG1,OI,T,T/BETA                                                                               	4,1,2,3,1,1,3                   	81      	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-5-7(4)6(2)3/h7H,5H2,1-4H3                         	CCC([C](C)C)C           	23DMP2J 	23DMP2J      	C7H15   	14      	C/C/H3,C/C2/H2,C/C3/H,RG1,RG2,OI,T,T/BETA                                                                           	4,1,2,2,1,1,1,2                 	162     	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-5-7(4)6(2)3/h5-7H,1-4H3                            	C[CH]C(C(C)C)C          	23DMP4J 	23DMP4J      	C7H15   	14      	C/C/H3,C/C2/H2,C/C3/H,AG,RG1,RG2,OI,S,S/BETA                                                                        	4,1,2,1,1,1,1,1,                	81      	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-5-7(4)6(2)3/h6-7H,1,5H2,2-4H3                     	[CH2]CC(C(C)C)C         	23DMP5J 	23DMP5J      	C7H15   	13      	C/C/H3,C/C2/H2,C/C3/H,AG,RG2,OI,P,P/BETA                                                                            	4,1,2,2,1,1,1,1                 	54      	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-5-7(4)6(2)3/h6-7H,4-5H2,1-3H3                     	CCC(C(C)C)[CH2]         	23DMP7J 	23DMP7J      	C7H15   	14      	C/C/H3,C/C2/H2,C/C3/H,AG,RG2,OI,P,P/BETA                                                                            	4,1,2,1,2,1,1,2                 	54      	6     	YES 	no           	7 	15	0 	0 	no
InChI=1S/C7H15/c1-6(2)5-7(3)4/h6-7H,1,5H2,2-4H3                     	CC(CC(C)C)[CH2]         	24DMP1J 	I24C7-1R     	C7H15   	13      	C/C/H3,C/C2/H2,C/C3/H,AG,RG2,OI,P,P/BETA                                                                            	4,1,2,1,1,1,1,2                 	54      	6     	YES 	no          	7 	15	0 	0 	no
InChI=1S/C7H15/c1-6(2)5-7(3)4/h6H,5H2,1-4H3                         	C[C](CC(C)C)C           	24DMP2J 	I24C7-2R     	C7H15   	13      	C/C/H3,C/C2/H2,C/C3/H,RG1,RG2,H/15/RAD2,T,T/BETA                                                                    	4,1,2,1,1,2,1,1                 	162     	6     	YES 	no          	7 	15	0 	0 	no
InChI=1S/C7H15/c1-6(2)5-7(3)4/h5-7H,1-4H3                            	CC([CH]C(C)C)C          	24DMP3J 	I24C7-3R     	C7H15   	14      	C/C/H3,C/C2/H2,C/C3/H,RG1,S,S/BETA                                                                                  	4,1,2,2,1,4                     	162     	6     	YES 	no          	7 	15	0 	0 	no
InChI=1S/C8H17/c1-7(2)6-8(3,4)5/h7H,3,6H2,1-2,4-5H3                 	CC(CC([CH2])(C)C)C      	224TMP1J	IC8-1R       	C8H17   	16      	C/C/H3,C/C2/H2,C/C3/H,C/C4,AG,RG2,H/15/RAD1,P,P/BETA                                                                	5,1,1,1,2,1,1,1,                	162     	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/C8H17/c1-7(2)6-8(3,4)5/h6-7H,1-5H3                         	CC([CH]C(C)(C)C)C       	224TMP3J	IC8-3R       	C8H17   	18      	C/C/H3,C/C2/H2,C/C3/H,C/C4,RG1,H/15/RAD3,S,S/BETA                                                                   	5,1,1,1,3,1,1,5                 	729     	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/C8H17/c1-7(2)6-8(3,4)5/h6H2,1-5H3                          	C[C](CC(C)(C)C)C        	224TMP4J	IC8-4R       	C8H17   	15      	C/C/H3,C/C2/H2,C/C3/H,C/C4,RG1,RG2,H/15/RAD2,T,T/BETA                                                               	5,1,1,1,1,2,2,1,                	1458    	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/C8H17/c1-7(2)6-8(3,4)5/h7H,1,6H2,2-5H3                      	CC(CC(C)(C)C)[CH2]      	224TMP5J	IC8-5R       	C8H17   	15      	C/C/H3,C/C2/H2,C/C3/H,C/C4,AG,RG2,H/15/RAD1,P,P/BETA                                                                	5,1,1,1,2,1,1,1,                	486     	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/C8H17/c1-6(2)8(5)7(3)4/h6-8H,1H2,2-5H3                      	CC(C([CH2])C)C(C)C      	234TMP1J	234TMP1J     	C8H17   	15      	C/C/H3,C/C3/H,AG,RG2,P,P/BETA                                                                                       	5,3,3,1,1,2                      	162     	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/C8H17/c1-6(2)8(5)7(3)4/h6,8H,1-5H3                         	CC([C](C)C)C(C)C        	234TMP2J	234TMP2J     	C8H17   	15      	C/C/H3,C/C3/H,AG,RG1,RG2,T,T/BETA                                                                                   	5,3,1,2,1,1,2                    	486     	7     	YES 	no          	8 	17	0 	0 	no
InChI=1S/C8H17/c1-6(2)8(5)7(3)4/h6-7H,1-5H3                         	C[C](C(C)C)C(C)C        	234TMP3J	234TMP3J     	C8H17   	17      	C/C/H3,C/C3/H,RG1,T,T/BETA                                                                                          	5,3,4,1,4        	                243     	7     	YES 	no          	8 	17	0 	0 	no
